当地时间 武汉市(机场),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
25.12.2021 08:00,0.6,775.2,777.6,,84,从东北方吹来的风,5,,12,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.6,8.5,,,300-600,,,8,-1.8,0.5,6,,,,
25.12.2021 05:00,1.9,773.9,776.3,,77,从东北偏北方向吹来的风,5,,12,,间歇性雨，不冻，在观测时较弱 ,,,1.9,8.5,,,300-600,,,10,-1.7,无降水,6,,,,
25.12.2021 02:00,2.8,772.8,775.1,,79,从东北偏北方向吹来的风,5,,12,, ,,,2.8,8.5,,,300-600,,,9,-0.6,无降水,6,,,,
24.12.2021 23:00,3.2,772.7,775,,80,从东北偏北方向吹来的风,5,,12,, ,,,3.2,9.7,,,300-600,,,12,0.1,无降水,6,,,,
24.12.2021 20:00,3.8,771.2,773.5,,79,从东北偏北方向吹来的风,7,,12,, ,,,3.8,10,,,300-600,,,12,0.5,无降水,6,,,,
24.12.2021 17:00,5.5,769.4,771.7,,80,从东北偏北方向吹来的风,6,,11,, ,,,5.4,,,,300-600,,,7,2.2,无降水,6,,,,
24.12.2021 14:00,7.7,767.8,770.1,,74,从东北偏北方向吹来的风,6,,10,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.8,,,,600-1000,,,5,3.4,无降水,6,,,,
24.12.2021 11:00,7.3,767.8,770.2,,77,从东北方吹来的风,4,,9,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.8,,,,300-600,,,2.8,3.5,无降水,6,,,,
24.12.2021 08:00,6.7,766,768.4,,82,从东北偏北方向吹来的风,3,,8,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.8,,,,300-600,,,2.3,3.8,无降水,6,,,,
24.12.2021 05:00,6.8,763.5,765.7,,83,从东北方吹来的风,4,,7,,薄雾 ,,,0.8,17.9,,,,,,1.8,4.1,无降水,6,,,,
24.12.2021 02:00,8.4,763,765.2,,75,从东北偏北方向吹来的风,3,,7,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.8,17.9,,,,,,2.3,4.2,无降水,6,,,,
23.12.2021 23:00,9,762.4,764.6,,72,从东北偏北方向吹来的风,1,,5,,霾 ,,,0.8,17.9,,,2500或更高，或无云。,,,3.6,4.2,无降水,6,,,,
23.12.2021 20:00,6.7,760.8,763.1,,84,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.8,17.9,,,,,,4.5,4.2,无降水,6,,,,
23.12.2021 17:00,16.2,760.1,762.4,,52,无风,0,,,, ,,,0.8,17.9,,,,,,7,6.3,无降水,6,,,,
23.12.2021 14:00,17.2,760,762.2,,41,从东南偏东方向吹来的风,3,,,, ,,,,,,,,,,9,3.8,,,,,,
23.12.2021 11:00,13.4,762.9,765.2,,48,从东北方吹来的风,2,,4,, ,,,0.8,19,,,,,,7,2.6,无降水,6,,,,
23.12.2021 08:00,1.8,762.9,765.2,,99,无风,0,,,,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.8,,,,,,,0.8,1.7,无降水,6,,,,
23.12.2021 05:00,1.2,762.4,764.8,,98,无风,0,,,,薄雾 ,,,0.5,19,,,,,,0.8,0.9,无降水,6,,,,
23.12.2021 02:00,2.2,762.8,765.1,,97,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.5,19,,,,,,1.8,1.8,无降水,6,,,,
22.12.2021 23:00,3.3,763.3,765.6,,95,无风,0,,,,薄雾 ,,,0.5,19,,,,,,2.1,2.6,无降水,6,,,,
22.12.2021 20:00,5.6,763.4,765.7,,86,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.5,19,,,,,,2.2,3.4,无降水,6,,,,
22.12.2021 17:00,16.1,762.8,765.1,,57,从东南偏东方向吹来的风,0,,3,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.5,19,,,,,,3.6,7.6,无降水,6,,,,
22.12.2021 14:00,18.5,763,765.3,,40,从东南方吹来的风,1,,3,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.5,18.5,,,,,,6,4.7,无降水,6,,,,
22.12.2021 11:00,14.6,764.9,767.2,,63,从东南偏东方向吹来的风,2,,3,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.5,18.5,,,,,,4.5,7.6,无降水,6,,,,
22.12.2021 08:00,0.9,764.5,766.9,,100,无风,0,,,,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,雾或冰雾或强阴霾,在整个相应周期内云遮住了一半或以下的天空,0.5,,,,,,,低于 0.1,0.9,无降水,6,,,,
22.12.2021 05:00,0.9,763.5,765.8,,97,无风,0,,,,薄雾 ,,,0.9,18.5,,,,,,0.8,0.5,无降水,6,,,,
22.12.2021 02:00,2.3,763.5,765.8,,98,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.1,18.5,,,,,,1,2,无降水,6,,,,
21.12.2021 23:00,3.7,763.6,765.9,,95,无风,0,,,,薄雾 ,,,2.1,18.5,,,,,,3,3,无降水,6,,,,
21.12.2021 20:00,6.5,762.9,765.2,,88,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.1,18.5,,,,,,2.7,4.7,无降水,6,,,,
21.12.2021 17:00,16.2,761.8,764.1,,48,无风,0,,,, ,,,,,,,,,,13,5.2,,,,,,
21.12.2021 14:00,17.6,761.9,764.2,,40,从西南方吹来的风,1,,,, ,,,,,,,,,,10,3.9,,,,,,
21.12.2021 11:00,14.3,764,766.3,,54,从西南方吹来的风,2,,3,, ,,,2.1,17,,,,,,8,5.1,无降水,6,,,,
21.12.2021 08:00,2.6,763.5,765.8,,99,从东南偏南方向吹来的风,0,,3,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.1,,,,,,,3.5,2.5,无降水,6,,,,
21.12.2021 05:00,2.6,762.4,764.7,,98,从东北偏东方向吹来的风,1,,3,,薄雾 ,,,2.3,17,,,,,,1.6,2.3,无降水,6,,,,
21.12.2021 02:00,3,762.8,765.1,,95,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3,17,,,,,,3.4,2.3,无降水,6,,,,
20.12.2021 23:00,4.4,763.1,765.4,,90,从东北偏北方向吹来的风,1,,5,,薄雾 ,,,2.9,17,,,,,,6,2.9,无降水,6,,,,
20.12.2021 20:00,6.2,762.7,765,,84,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.9,17,,,,,,6,3.7,无降水,6,,,,
20.12.2021 17:00,15.2,762.1,764.3,,38,从西南偏南方向吹来的风,1,,,, ,,,,,,,,,,15,1,,,,,,
20.12.2021 14:00,16.8,762.4,764.7,,36,从南方吹来的风,2,,,, ,,,,,,,,,,12,1.7,,,,,,
20.12.2021 11:00,13.6,765.1,767.5,,43,从西南偏南方向吹来的风,2,,4,, ,,,2.9,14.9,,,,,,14,1.3,无降水,6,,,,
20.12.2021 08:00,7.1,764.8,767.2,,81,从东南偏南方向吹来的风,1,,2,, ,,,0.1,,,,,,,10,4.1,无降水,6,,,,
20.12.2021 05:00,5.2,764.5,766.8,,89,从东南方吹来的风,0,,,, ,,,,,,,2500或更高，或无云。,,,8,3.5,,,,,,
20.12.2021 02:00,6.2,765.4,767.7,,88,无风,0,,,, ,,,,,,,2500或更高，或无云。,,,10,4.4,,,,,,
19.12.2021 23:00,3.2,766.2,768.5,,91,从南方吹来的风,1,,4,, ,,,-0.7,14.9,,,,,,8,1.9,无降水,6,,,,
19.12.2021 20:00,4.9,765.8,768.1,,80,无风,0,,,, ,,,,,,,2500或更高，或无云。,,,11,1.7,,,,,,
19.12.2021 17:00,13.1,765.9,768.2,,32,从西南方吹来的风,1,,,, ,,,,,,,,,,24,-3.2,,,,,,
19.12.2021 14:00,14.5,767.1,769.4,,26,从南方吹来的风,2,,,, ,,,,,,,,,,20,-4.8,,,,,,
19.12.2021 11:00,11.3,769.8,772.1,,38,从南方吹来的风,1,,,, ,,,,,,,,,,15,-2.5,,,,,,
19.12.2021 08:00,0.1,770.2,772.5,,97,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.8,11.1,,,,,,2.7,-0.3,无降水,6,,,,
19.12.2021 05:00,0.2,769.9,772.2,,92,从东北偏北方向吹来的风,0,,3,,薄雾 ,,,-2.1,11.1,,,,,,5,-0.9,无降水,6,,,,
19.12.2021 02:00,5.3,771,773.3,,75,无风,0,,,, ,,,,,,,2500或更高，或无云。,,,11,1.2,,,,,,
18.12.2021 23:00,6,771.5,773.8,,63,从西北偏西方向吹来的风,1,,5,, ,,,,11.1,,,2500或更高，或无云。,,,15,-0.5,无降水,6,,,,
18.12.2021 20:00,7.6,771,773.4,,42,从西南偏西方向吹来的风,1,,5,, ,,,-2.1,11.1,,,2500或更高，或无云。,,,21,-4.5,无降水,6,,,,
18.12.2021 17:00,9,770.5,772.8,,32,从西南偏西方向吹来的风,1,,,, ,,,,,,,2500或更高，或无云。,,,20,-6.8,,,,,,
18.12.2021 14:00,10.3,771.6,773.9,,24,从西方吹来的风,1,,,, ,,,,,,,,,,26,-9.4,,,,,,
18.12.2021 11:00,7.6,774.1,776.4,,29,从东南偏东方向吹来的风,1,,,, ,,,-2.1,11.9,,,,,,20,-9.3,无降水,6,,,,
18.12.2021 08:00,-0.9,774.1,776.5,,84,从西方吹来的风,1,,8,, ,,,-2.1,11.9,,,2500或更高，或无云。,,,15,-3.3,无降水,6,,,,
18.12.2021 05:00,-1.6,773.8,776.2,,74,从西北偏北方向吹来的风,1,,,, ,,,,,,,,,,17,-5.6,,,,,,
18.12.2021 02:00,0.4,774.8,777.1,,66,从西方吹来的风,1,,11,, ,,,0.4,11.9,,,,,,21,-5.2,无降水,6,,,,
17.12.2021 23:00,3.9,774.4,776.8,,45,从东北方吹来的风,3,,11,, ,,,3.3,11.9,,,,,,18,-7.2,无降水,6,,,,
17.12.2021 20:00,6.8,774.1,776.4,,42,从东北偏北方向吹来的风,4,,12,, ,,,3.3,11.9,,,2500或更高，或无云。,,,15,-5.2,无降水,6,,,,
17.12.2021 17:00,8.9,772.9,775.2,,26,从东北偏北方向吹来的风,5,,12,, ,,,3.3,11.9,,,2500或更高，或无云。,,,30,-9.6,无降水,6,,,,
17.12.2021 14:00,11.6,772.6,775,,26,从东北偏北方向吹来的风,6,,,, ,,,,,,,,,,26,-7.2,,,,,,
17.12.2021 11:00,10.5,774.4,776.7,,30,从东北偏北方向吹来的风,6,,12,, ,,,3.3,11.8,,,,,,19,-6.3,无降水,6,,,,
17.12.2021 08:00,7.2,773.2,775.5,,39,从东北方吹来的风,5,,8,, ,,,3.3,11.8,,,,,,23,-5.8,无降水,6,,,,
17.12.2021 05:00,5.3,771.6,773.9,,67,无风,0,,,, ,,,4.1,11.8,,,,,,12,-0.5,无降水,6,,,,
17.12.2021 02:00,7.4,771.4,773.7,,64,无风,0,,,, ,,,7.1,11.8,,,,,,11,1,无降水,6,,,,
16.12.2021 23:00,10.1,770.2,772.6,,55,从北方吹来的风,2,,6,, ,,,10,11.8,,,2500或更高，或无云。,,,13,1.5,无降水,6,,,,
16.12.2021 20:00,10.4,768.8,771.1,,56,从北方吹来的风,2,,6,, ,,,10,11.8,,,2500或更高，或无云。,,,11,2,无降水,6,,,,
16.12.2021 17:00,11,766,768.4,,60,从北方吹来的风,2,,5,, ,,,10.1,11.8,,,2000-2500,,,8,3.5,无降水,6,,,,
16.12.2021 14:00,11.6,765.4,767.7,,66,从西北偏北方向吹来的风,1,,4,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,10.1,12.5,,,2000-2500,,,6,5.3,无降水,6,,,,
16.12.2021 11:00,10.8,766.3,768.6,,82,从西北偏北方向吹来的风,2,,4,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,10.1,,,,1500-2000,,,3.6,7.9,无降水,6,,,,
16.12.2021 08:00,10.3,764.8,767.2,,97,从西北偏北方向吹来的风,2,,4,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,9.6,,,,1000-1500,,,1.8,9.8,无降水,6,,,,
16.12.2021 05:00,10.2,763.6,765.8,,99,从西北偏西方向吹来的风,1,,5,,间歇性雨，不冻，在观测时较弱 ,,,8.8,12.6,,,,,,0.9,10,0.9,6,,,,
16.12.2021 02:00,10.3,763.4,765.7,,98,从北方吹来的风,1,,5,,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,8.8,12.6,,,,,,1.4,10,3,6,,,,
15.12.2021 23:00,10.4,763.6,765.9,,98,从北方吹来的风,3,,5,,间歇性雨，不冻，在观测时较弱 ,,,8.8,12.6,,,,,,1.8,10.1,3,6,,,,
15.12.2021 20:00,10.7,762.1,764.4,,96,从东北偏北方向吹来的风,2,,5,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,12.6,,,,,,2.1,10.1,0.6,6,,,,
15.12.2021 17:00,11.3,760.9,763.2,,89,从东北方吹来的风,1,,4,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,12.8,,,600-1000,,,2.7,9.6,无降水,6,,,,
15.12.2021 14:00,12.5,761,763.3,,81,从北方吹来的风,2,,3,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,14.1,,,1000-1500,,,4.3,9.3,无降水,6,,,,
15.12.2021 11:00,12.1,762.8,765.1,,81,从东南方吹来的风,1,,2,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,14.3,,,1000-1500,,,5,8.9,无降水,6,,,,
15.12.2021 08:00,9.6,762.6,764.8,,95,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,14.3,,,2000-2500,,,4,8.8,无降水,6,,,,
15.12.2021 05:00,8.8,762.1,764.3,,96,无风,0,,,,薄雾 ,,,,14.3,,,2000-2500,,,3.4,8.2,无降水,6,,,,
15.12.2021 02:00,9.9,762.8,765.1,,92,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,14.3,,,2500或更高，或无云。,,,5,8.7,无降水,6,,,,
14.12.2021 23:00,10.4,763.7,766,,88,无风,0,,,,薄雾 ,,,,14.3,,,2500或更高，或无云。,,,6,8.5,无降水,6,,,,
14.12.2021 20:00,11.1,762.4,764.8,,84,从东北偏东方向吹来的风,0,,6,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2,14.3,,,2000-2500,,,6,8.5,无降水,6,,,,
14.12.2021 17:00,12.8,762.4,764.7,,67,从西南方吹来的风,1,,,, ,,,,,,,2000-2500,,,12,6.8,,,,,,
14.12.2021 14:00,14,762.6,764.9,,59,从西南偏南方向吹来的风,2,,,, ,,,,,,,2500或更高，或无云。,,,12,6.1,,,,,,
14.12.2021 11:00,11.1,765.5,767.8,,71,从东南偏南方向吹来的风,2,,4,, ,,,2,12.7,,,2500或更高，或无云。,,,7,6,无降水,6,,,,
14.12.2021 08:00,3,765.1,767.4,,99,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2,12.7,,,,,,1.8,2.9,无降水,6,,,,
14.12.2021 05:00,2.2,764.9,767.2,,98,无风,0,,,,间歇性雨，不冻，在观测时较弱 ,,,1.7,12.7,,,,,,0.3,1.9,无降水,6,,,,
14.12.2021 02:00,3.6,766.1,768.4,,95,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,1.8,2.9,无降水,6,,,,
13.12.2021 23:00,7.7,766.9,769.2,,88,从东南方吹来的风,1,,4,,薄雾 ,,,1.7,12.7,,,2500或更高，或无云。,,,3.4,5.8,无降水,6,,,,
13.12.2021 20:00,5.6,766.9,769.3,,89,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,3,3.9,无降水,6,,,,
13.12.2021 17:00,10.8,766.9,769.3,,68,从东南偏南方向吹来的风,2,,4,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,4.8,5.1,无降水,6,,,,
13.12.2021 14:00,11.9,767.8,770.2,,63,从南方吹来的风,1,,4,,霾 ,雾或冰雾或强阴霾,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,4.6,4.9,无降水,6,,,,
13.12.2021 11:00,9.3,770.8,773.1,,93,从东南方吹来的风,1,,3,,雾或冰雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,1.7,8.2,无降水,6,,,,
13.12.2021 08:00,3.1,771.6,773.9,,100,无风,0,,,,有雾或冰雾，天空可见，在观测前一个小时内开始出现或变浓。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.7,12.7,,,,,,低于 0.1,3.1,无降水,6,,,,
13.12.2021 05:00,2.3,771.1,773.5,,99,无风,0,,,,间歇性雨，不冻，在观测时较弱 ,,,2.3,12.7,,,,,,0.2,2.2,无降水,6,,,,
13.12.2021 02:00,4.8,772.6,774.9,,98,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,4.8,12.7,,,,,,0.7,4.5,无降水,6,,,,
12.12.2021 23:00,7.9,773.2,775.6,,90,从东北方吹来的风,1,,9,,薄雾 ,,,7.9,12.7,,,,,,1.9,6.4,无降水,6,,,,
12.12.2021 20:00,8.1,772.9,775.3,,83,从北方吹来的风,1,,9,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8,12.7,,,,,,3.7,5.4,无降水,6,,,,
12.12.2021 17:00,11.5,771.9,774.2,,61,从东北偏北方向吹来的风,4,,9,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8,12.7,,,1500-2000,,,6,4.2,无降水,6,,,,
12.12.2021 14:00,12.3,771.7,774.1,,61,从北方吹来的风,4,,7,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8,12.4,,,1000-1500,,,6,5,无降水,6,,,,
12.12.2021 11:00,9.9,773.1,775.4,,80,从北方吹来的风,3,,6,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8,11.1,,,2500或更高，或无云。,,,3.6,6.6,无降水,6,,,,
12.12.2021 08:00,8.4,772.5,774.8,,92,从西北偏北方向吹来的风,3,,5,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8,,,,1500-2000,,,2.7,7.2,0.9,6,,,,
12.12.2021 05:00,8.1,770.8,773.1,,97,无风,0,,,,小雨（不冻） ,,,8.1,,,,2500或更高，或无云。,,,1.8,7.7,2,6,,,,
12.12.2021 02:00,8.3,771,773.3,,98,无风,0,,,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.3,11.7,,,,,,1.3,8,1,6,,,,
11.12.2021 23:00,8.7,770.8,773.1,,97,从西北偏北方向吹来的风,2,,6,,间歇性雨，不冻，在观测时较弱 ,,,8.7,11.7,,,,,,1.4,8.3,2,6,,,,
11.12.2021 20:00,8.8,770.1,772.4,,98,从北方吹来的风,2,,7,,间歇性雨，不冻，在观测时较弱 ,小雨,在整个相应周期内云遮住了一半或以下的天空,8.8,11.8,,,,,,0.8,8.5,2,6,,,,
11.12.2021 17:00,9.4,768.5,770.8,,94,从西北偏北方向吹来的风,3,,7,,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,8.8,,,,200-300,,,1.2,8.5,无降水,6,,,,
11.12.2021 14:00,10.3,768,770.3,,91,从西北偏北方向吹来的风,1,,7,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,,,,,,,1.5,8.9,无降水,6,,,,
11.12.2021 11:00,11.1,768.9,771.2,,82,从北方吹来的风,3,,7,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,8.8,,,,1500-2000,,,2.1,8.1,无降水,6,,,,
11.12.2021 08:00,11.4,768,770.3,,75,从北方吹来的风,3,,6,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,,,,,,,2.9,7.1,无降水,6,,,,
11.12.2021 05:00,11.2,766.3,768.6,,81,无风,0,,,,霾 ,,,2.5,17.8,,,2000-2500,,,3.3,8.1,无降水,6,,,,
11.12.2021 02:00,10.8,766.2,768.4,,84,从北方吹来的风,1,,4,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,17.8,,,2000-2500,,,3.4,8.2,无降水,6,,,,
10.12.2021 23:00,9.4,766.2,768.4,,91,无风,0,,,,薄雾 ,,,2.5,17.8,,,2000-2500,,,2.5,8,无降水,6,,,,
10.12.2021 20:00,11.7,765.4,767.7,,80,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,17.8,,,2500或更高，或无云。,,,3.3,8.4,无降水,6,,,,
10.12.2021 17:00,16.3,764.7,767,,57,无风,0,,,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,17.8,,,,,,5,7.8,无降水,6,,,,
10.12.2021 14:00,17.7,765.3,767.6,,47,从东方吹来的风,2,,,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,17.7,,,,,,4.9,6.3,无降水,6,,,,
10.12.2021 11:00,14.3,767.6,769.9,,60,从东方吹来的风,2,,4,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,15.9,,,,,,3.6,6.6,无降水,6,,,,
10.12.2021 08:00,3.4,767.2,769.6,,99,无风,0,,,,雾或冰雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,2.5,,,,,,,0.9,3.3,无降水,6,,,,
10.12.2021 05:00,2.8,766.9,769.3,,99,无风,0,,,,薄雾 ,,,2.8,15.9,,,,,,0.7,2.7,无降水,6,,,,
10.12.2021 02:00,3.5,767.5,769.9,,98,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,15.9,,,,,,0.9,3.2,无降水,6,,,,
09.12.2021 23:00,4.2,767.7,770,,96,无风,0,,,,薄雾 ,,,3.4,15.9,,,,,,1.3,3.6,无降水,6,,,,
09.12.2021 20:00,6.1,767.6,769.9,,91,无风,0,,,,薄雾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,15.9,,,,,,2.3,4.7,无降水,6,,,,
